timestamp,percent,plugged,health_pct
2026-06-24T22:03:49,20,False,
2026-06-29T23:05:00,100,True,
2026-06-29T23:06:00,100,True,3.1
2026-06-29T23:07:01,100,True,3.1
2026-06-29T23:08:01,100,True,3.1
2026-06-29T23:09:01,100,True,3.1
2026-06-29T23:10:02,100,True,3.1
2026-06-29T23:11:02,100,True,3.1
2026-06-29T23:12:02,100,True,3.1
2026-06-29T23:13:02,100,True,3.1
2026-06-29T23:14:02,100,True,3.1
2026-06-29T23:15:02,100,True,3.1
2026-06-29T23:16:02,100,True,3.1
2026-06-29T23:17:02,100,True,3.1
2026-06-29T23:18:02,100,True,3.1
2026-06-29T23:18:17,99,False,
2026-07-01T21:25:34,29,True,
